UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
51,H00009,H,297.2,308.3,1480,32.5,132,0,0,0,0,0,0
52,M00015,M,302.0,312.4,1500,29.0,120,0,0,0,0,0,0
53,H00010,H,299.5,309.1,1525,34.1,29,0,0,0,0,0,0
54,H00011,H,297.2,307.7,1615,51.9,62,0,0,0,0,0,0
55,M00016,M,302.7,312.3,1537,22.9,239,0,0,0,0,0,0
56,H00012,H,304.2,314.6,1511,27.8,186,0,0,0,0,0,0
57,L00029,L,299.9,311.3,1799,35.4,37,0,0,0,0,0,0
58,L00030,L,304.3,312.2,1651,30.2,163,0,0,0,0,0,0
59,L00031,L,300.2,311.0,1346,39.6,37,0,0,0,0,0,0
60,L00032,L,299.2,307.7,1686,54.1,22,1,0,0,1,0,0
61,L00033,L,298.7,310.0,1642,28.0,150,0,0,0,0,0,0
62,L00034,L,303.3,312.6,1428,38.5,57,0,0,0,0,0,0
63,H00013,H,298.4,307.2,1696,39.9,175,0,0,0,0,0,0
64,L00035,L,301.5,312.2,1506,36.7,133,0,0,0,0,0,0
65,L00036,L,298.9,309.2,1493,24.2,106,0,0,0,0,0,0
66,M00017,M,299.1,308.1,1488,33.6,173,0,0,0,0,0,0
67,L00037,L,302.1,310.8,1168,33.7,86,0,0,0,0,0,0
68,H00014,H,299.2,309.1,1432,46.3,142,0,0,0,0,0,0
69,L00038,L,299.2,308.0,1680,44.2,0,0,0,0,0,0,0
70,H00015,H,302.3,311.2,1533,24.5,99,0,0,0,0,0,0
71,M00018,M,303.2,313.3,1280,36.1,230,1,1,0,0,0,0
72,L00039,L,301.3,310.3,1730,35.0,91,0,0,0,0,0,0
73,L00040,L,298.7,309.1,1478,59.5,201,1,0,0,1,1,0
74,H00016,H,299.0,310.5,1293,42.9,32,0,0,0,0,0,0
75,M00019,M,300.2,310.0,1979,29.2,109,0,0,0,0,0,0
76,M00020,M,300.6,310.8,1327,32.2,151,0,0,0,0,0,0
77,M00021,M,298.0,310.0,1713,36.2,69,0,0,0,0,0,0
78,L00041,L,301.4,310.3,1384,43.6,141,0,0,0,0,0,0
79,L00042,L,300.2,311.4,1565,44.8,95,0,0,0,0,0,0
80,L00043,L,296.6,307.6,1357,42.0,82,0,0,0,0,0,0
81,H00017,H,298.1,309.0,1290,37.9,197,0,0,0,0,0,0
82,M00022,M,299.0,310.3,1642,38.6,83,0,0,0,0,0,0
83,L00044,L,299.9,310.1,1619,38.7,216,0,0,0,0,0,0
84,L00045,L,303.8,313.2,1766,22.2,124,0,0,0,0,0,0
85,L00046,L,300.5,311.6,1531,39.4,83,0,0,0,0,0,0
86,L00047,L,298.3,309.5,1982,34.2,165,0,0,0,0,0,0
87,M00023,M,300.4,311.5,1591,23.5,138,0,0,0,0,0,0
88,M00024,M,299.3,309.3,1651,64.2,190,1,0,0,1,1,0
89,H00018,H,300.6,309.9,1266,43.1,159,0,0,0,0,0,0
90,L00048,L,301.2,311.4,1415,40.1,156,0,0,0,0,0,0
91,L00049,L,302.4,313.4,1641,36.3,29,0,0,0,0,0,0
92,M00025,M,300.0,311.0,1521,47.3,156,0,0,0,0,0,0
93,M00026,M,303.3,312.8,1575,28.4,85,0,0,0,0,0,0
94,M00027,M,301.8,312.1,1374,36.9,138,0,0,0,0,0,0
95,M00028,M,298.6,307.3,1562,30.5,176,0,0,0,0,0,0
96,L00050,L,304.4,315.4,1561,47.2,211,1,1,0,0,0,0
97,M00029,M,300.7,309.9,1301,31.7,104,0,0,0,0,0,0
98,L00051,L,298.3,309.1,1666,51.0,77,0,0,0,0,0,0
99,L00052,L,303.3,312.2,1197,39.0,218,1,1,0,0,0,0
100,L00053,L,304.2,315.2,1574,47.7,191,0,0,0,0,0,0
101,L00054,L,299.9,310.3,1891,44.0,121,0,0,0,0,0,0
102,M00030,M,299.0,308.2,1674,50.6,165,0,0,0,0,0,0
103,L00055,L,299.7,310.3,1672,30.6,187,0,0,0,0,0,0
104,M00031,M,301.4,310.8,1358,49.1,195,0,0,0,0,0,0
105,H00019,H,302.6,313.3,1891,21.4,134,0,0,0,0,0,0
106,L00056,L,301.1,310.9,1813,40.4,93,0,0,0,0,0,0
107,L00057,L,300.2,308.5,1369,34.5,73,1,0,1,0,0,0
108,M00032,M,303.0,312.0,1443,26.0,134,0,0,0,0,0,0
109,L00058,L,299.4,308.9,1788,31.1,4,0,0,0,0,0,0
110,L00059,L,302.1,313.4,1897,33.6,195,0,0,0,0,0,0
111,L00060,L,299.4,310.3,1285,38.0,46,0,0,0,0,0,0
112,L00061,L,300.9,312.5,1337,34.8,35,0,0,0,0,0,0
113,H00020,H,299.8,311.4,1509,40.8,142,0,0,0,0,0,0
114,H00021,H,299.9,309.4,1168,31.7,38,0,0,0,0,0,0
115,M00033,M,299.2,309.1,1541,35.2,37,0,0,0,0,0,0
116,H00022,H,302.7,312.3,1775,37.1,35,0,0,0,0,0,0
117,H00023,H,298.5,307.9,1250,41.8,114,0,0,0,0,0,0
118,L00062,L,298.5,306.7,1563,48.5,1,0,0,0,0,0,0
119,H00024,H,304.2,314.2,1421,48.5,14,0,0,0,0,0,0
120,M00034,M,302.0,310.7,1865,42.4,83,0,0,0,0,0,0
121,H00025,H,295.2,305.2,1424,44.3,54,0,0,0,0,0,0
122,H00026,H,298.9,311.0,1841,43.1,225,0,0,0,0,0,0
123,L00063,L,296.4,305.9,1418,36.9,76,0,0,0,0,0,0
124,L00064,L,298.1,308.3,1692,49.0,187,0,0,0,0,0,0
125,L00065,L,293.7,304.6,1588,30.9,24,0,0,0,0,0,0
126,L00066,L,299.7,310.0,1510,19.5,13,1,0,0,1,0,0
127,H00027,H,297.7,308.0,1379,29.6,232,1,1,0,0,0,0
128,H00028,H,300.1,309.8,1602,54.0,239,1,1,0,1,0,0
129,L00067,L,296.7,306.5,1449,37.0,136,0,0,0,0,0,0
130,M00035,M,300.2,309.2,1400,42.7,176,0,0,0,0,0,0
131,L00068,L,299.2,310.0,1832,37.3,117,0,0,0,0,0,0
132,L00069,L,303.0,311.3,1647,45.6,162,0,0,0,0,0,0
133,L00070,L,302.8,313.8,1666,40.7,213,0,0,0,0,0,0
134,L00071,L,301.6,310.2,1459,39.3,4,0,0,0,0,0,0
135,H00029,H,299.3,310.3,1500,46.1,235,1,1,0,0,0,0
136,L00072,L,304.0,313.6,1488,35.3,100,0,0,0,0,0,0
137,M00036,M,296.9,305.7,1605,43.7,205,0,0,0,0,0,0
138,M00037,M,297.2,307.8,1666,38.3,144,0,0,0,0,0,0
139,L00073,L,299.8,310.8,1531,38.9,68,0,0,0,0,0,0
140,H00030,H,304.5,314.1,1379,31.8,204,0,0,0,0,0,0
141,H00031,H,299.6,310.3,1690,37.8,53,0,0,0,0,0,0
142,L00074,L,299.6,307.3,1544,34.6,174,0,0,0,0,0,0
143,L00075,L,297.1,305.8,1249,51.3,222,1,0,0,0,1,0
144,L00076,L,301.9,313.2,1168,23.2,176,1,0,0,1,0,0
145,L00077,L,301.9,311.7,1597,48.9,73,0,0,0,0,0,0
146,L00078,L,301.6,309.7,1372,22.6,239,1,0,1,1,0,0
147,M00038,M,298.7,308.0,1624,45.4,61,0,0,0,0,0,0
148,M00039,M,298.6,307.7,1382,31.6,150,0,0,0,0,0,0
149,L00079,L,297.4,307.2,1564,45.7,92,0,0,0,0,0,0
150,L00080,L,300.2,309.8,1462,38.8,15,0,0,0,0,0,0
151,H00032,H,297.8,308.0,1888,25.7,208,0,0,0,0,0,0
152,L00081,L,297.6,307.6,1728,53.6,134,1,0,0,1,0,0
153,L00082,L,299.2,310.5,1807,47.8,42,1,0,0,1,0,0
154,L00083,L,299.0,309.4,1542,45.0,205,1,1,0,0,0,0
155,H00033,H,298.9,309.4,1702,33.6,171,0,0,0,0,0,0
156,L00084,L,300.9,312.1,1556,48.1,136,0,0,0,0,0,0
157,M00040,M,300.2,309.8,1831,27.2,70,0,0,0,0,0,0
158,M00041,M,299.4,308.2,1523,17.7,205,1,0,0,1,0,0
159,L00085,L,300.4,311.6,1258,24.4,79,1,0,0,1,0,0
160,M00042,M,298.0,308.2,1168,30.8,187,0,0,0,0,0,0
161,L00086,L,300.2,310.3,1871,32.5,137,0,0,0,0,0,0
162,M00043,M,300.3,309.7,1633,35.7,126,0,0,0,0,0,0
163,M00044,M,297.0,306.4,1646,36.1,123,0,0,0,0,0,0
164,M00045,M,302.0,312.8,1835,33.5,132,0,0,0,0,0,0
165,L00087,L,298.2,309.2,1207,18.8,50,1,0,0,1,0,0
166,H00034,H,300.2,311.0,1466,41.9,6,0,0,0,0,0,0
167,L00088,L,302.3,313.1,1490,37.4,21,0,0,0,0,0,0
168,L00089,L,301.9,312.4,1686,33.0,23,0,0,0,0,0,0
169,L00090,L,300.1,310.2,1399,54.0,125,0,0,0,0,0,0
170,M00046,M,299.3,309.1,1297,37.6,103,0,0,0,0,0,0
171,M00047,M,301.9,313.1,1295,40.6,41,0,0,0,0,0,0
172,L00091,L,301.3,311.0,1767,48.0,149,0,0,0,0,0,0
173,M00048,M,298.8,309.1,1389,25.1,162,0,0,0,0,0,0
174,L00092,L,298.4,307.6,1427,39.8,237,0,0,0,0,0,0
175,M00049,M,295.9,305.2,1664,47.9,115,0,0,0,0,0,0
176,L00093,L,300.3,310.1,1398,39.1,182,0,0,0,0,0,0
177,M00050,M,299.8,309.0,1197,27.0,130,1,0,0,1,0,0
178,L00094,L,302.3,313.1,1221,35.2,110,0,0,0,0,0,0
179,H00035,H,300.7,309.4,1526,41.9,105,0,0,0,0,0,0
180,L00095,L,302.7,312.8,1637,18.9,198,1,0,0,1,0,0
181,L00096,L,298.6,308.7,1497,26.5,18,0,0,0,0,0,0
182,L00097,L,302.3,310.5,1624,59.7,169,1,0,0,1,0,0
183,H00036,H,298.9,308.5,1215,44.8,173,0,0,0,0,0,0
184,H00037,H,301.6,311.8,1228,54.8,71,0,0,0,0,0,0
185,L00098,L,297.1,307.5,1988,48.7,124,1,0,0,1,0,0
186,M00051,M,300.5,310.3,1784,43.9,214,1,1,0,0,0,0
187,H00038,H,296.0,306.7,1691,36.9,147,0,0,0,0,0,0
188,M00052,M,299.5,309.4,1406,43.8,32,0,0,0,0,0,0
189,M00053,M,300.9,310.9,1490,54.5,133,0,0,0,0,0,0
190,L00099,L,299.0,309.2,1537,48.3,14,0,0,0,0,0,0
191,L00100,L,297.9,308.8,1800,41.7,68,0,0,0,0,0,0
192,H00039,H,301.7,311.0,1618,38.3,205,0,0,0,0,0,0
193,H00040,H,299.8,309.3,1643,45.0,200,1,1,0,0,0,0
194,M00054,M,299.0,308.4,1504,34.7,89,0,0,0,0,0,0
195,L00101,L,300.1,309.8,1696,45.0,223,0,0,0,0,0,0
196,L00102,L,305.3,316.7,1598,33.0,30,0,0,0,0,0,0
197,M00055,M,302.3,312.9,1546,36.5,5,0,0,0,0,0,0
198,H00041,H,302.3,311.2,1389,29.7,128,0,0,0,0,0,0
199,H00042,H,300.9,310.3,1515,35.6,146,0,0,0,0,0,0
200,M00056,M,300.3,310.7,1322,33.2,14,0,0,0,0,0,0
201,M00057,M,295.2,304.3,1529,56.9,33,1,0,0,1,0,0
202,L00103,L,298.6,307.9,1555,31.1,191,0,0,0,0,0,0
203,L00104,L,299.0,310.4,1168,43.8,82,0,0,0,0,0,0
204,H00043,H,296.3,305.6,1491,30.5,176,0,0,0,0,0,0
205,M00058,M,297.7,308.6,1302,40.5,202,0,0,0,0,0,0
206,L00105,L,296.0,307.3,1637,42.9,81,0,0,0,0,0,0
207,L00106,L,299.9,309.2,1665,21.5,215,1,1,0,0,0,0
208,M00059,M,301.6,310.7,1452,26.0,173,0,0,0,0,0,0
209,L00107,L,302.2,311.9,1647,30.5,50,0,0,0,0,0,0
210,L00108,L,300.8,309.7,1656,27.0,200,1,1,0,0,0,0
211,M00060,M,298.1,308.2,1492,40.8,10,0,0,0,0,0,0
212,M00061,M,296.1,305.9,1844,42.4,234,0,0,0,0,0,0
213,M00062,M,296.5,306.8,1392,29.4,3,0,0,0,0,0,0
214,L00109,L,297.5,308.9,1832,41.2,81,0,0,0,0,0,0
215,M00063,M,298.2,309.0,1492,35.8,235,1,1,0,0,0,0
216,L00110,L,299.7,310.2,1369,39.0,214,0,0,0,0,0,0
217,L00111,L,298.0,306.0,1467,33.7,40,0,0,0,0,0,0
218,M00064,M,300.7,311.1,1318,44.9,228,0,0,0,0,0,0
219,M00065,M,299.5,311.3,1694,56.3,191,1,0,0,1,0,0
220,H00044,H,300.0,307.0,1217,47.7,0,1,0,1,0,0,0
221,M00066,M,302.3,313.0,1815,53.9,216,1,0,0,1,0,0
222,M00067,M,297.6,307.5,1350,26.0,8,0,0,0,0,0,0
223,L00112,L,300.8,310.0,1705,33.2,166,0,0,0,0,0,0
224,L00113,L,300.0,310.8,1542,45.7,64,0,0,0,0,0,0
225,L00114,L,299.3,311.0,1592,55.1,115,1,0,0,1,0,0
226,L00115,L,301.8,312.5,1419,46.5,16,0,0,0,0,0,0
227,H00045,H,301.8,311.4,1608,29.7,66,0,0,0,0,0,0
228,L00116,L,298.1,307.2,1564,35.7,86,0,0,0,0,0,0
229,H00046,H,299.6,309.8,1246,43.3,0,0,0,0,0,0,0
230,M00068,M,300.6,311.4,1345,38.4,151,0,0,0,0,0,0
231,M00069,M,299.5,309.1,1429,32.0,204,1,1,0,0,0,0
232,M00070,M,301.2,310.9,1387,37.1,121,0,0,0,0,0,0
233,M00071,M,300.6,313.4,1788,39.9,147,0,0,0,0,0,0
234,L00117,L,303.7,314.7,1539,29.2,191,0,0,0,0,0,0
235,L00118,L,296.9,308.1,1382,49.8,147,0,0,0,0,0,0
236,M00072,M,299.8,308.3,1439,35.6,123,0,0,0,0,0,0
237,L00119,L,298.2,307.5,1437,39.3,203,0,0,0,0,0,0
238,L00120,L,301.2,311.3,1480,50.4,80,0,0,0,0,0,0
239,M00073,M,296.8,305.8,1322,38.8,84,0,0,0,0,0,0
240,L00121,L,300.7,312.3,1375,49.8,167,0,0,0,0,0,0
241,H00047,H,298.7,310.2,1691,29.7,215,0,0,0,0,0,0
242,H00048,H,298.5,308.0,1575,44.3,157,0,0,0,0,0,0
243,H00049,H,297.1,308.9,1507,48.4,150,0,0,0,0,0,0
244,L00122,L,299.1,309.1,1538,31.7,22,0,0,0,0,0,0
245,L00123,L,302.2,314.8,1528,38.2,119,0,0,0,0,0,0
246,H00050,H,299.9,310.1,1496,38.4,55,0,0,0,0,0,0
247,L00124,L,301.3,311.8,1641,42.1,46,0,0,0,0,0,0
248,H00051,H,303.3,314.7,1626,44.7,144,0,0,0,0,0,0
249,H00052,H,300.5,311.8,1223,30.9,1,0,0,0,0,0,0
250,H00053,H,298.9,309.4,1511,39.4,105,0,0,0,0,0,0
251,L00125,L,300.9,310.8,1236,55.9,215,1,1,0,0,1,0
252,L00126,L,298.9,309.4,1665,50.5,32,0,0,0,0,0,0
253,H00054,H,299.0,308.2,1691,47.9,236,0,0,0,0,0,0
254,L00127,L,297.0,307.1,1415,38.1,107,0,0,0,0,0,0
255,L00128,L,301.9,310.7,1514,61.3,14,1,0,0,1,0,0
256,M00074,M,299.2,307.4,1168,50.3,31,1,0,1,0,0,0
257,H00055,H,300.4,310.4,1732,40.4,105,0,0,0,0,0,0
258,M00075,M,297.9,309.2,1679,42.2,161,0,0,0,0,0,0
259,M00076,M,300.9,311.8,1768,35.4,187,0,0,0,0,0,0
260,L00129,L,298.5,308.4,1835,43.9,213,0,0,0,0,0,0
261,M00077,M,299.7,311.5,1293,45.9,30,0,0,0,0,0,0
262,H00056,H,301.8,311.2,1715,47.0,14,0,0,0,0,0,0
263,L00130,L,301.6,309.7,1833,38.2,147,0,0,0,0,0,0
264,M00078,M,300.0,307.8,1239,25.3,105,1,0,1,1,0,0
265,H00057,H,296.5,305.3,1503,42.4,214,0,0,0,0,0,0
266,M00079,M,306.0,316.8,1465,47.1,30,0,0,0,0,0,0
267,M00080,M,303.5,312.9,1709,30.2,1,0,0,0,0,0,0
268,M00081,M,301.4,311.9,1168,39.1,12,0,0,0,0,0,0
269,L00131,L,298.5,310.1,1901,53.4,233,1,1,0,1,1,0
270,L00132,L,299.8,308.7,1515,28.0,95,0,0,0,0,0,0
271,H00058,H,298.9,309.4,1721,37.2,112,0,0,0,0,0,0
272,H00059,H,302.5,313.1,1525,54.9,143,0,0,0,0,0,0
273,H00060,H,300.5,309.7,1636,41.6,14,0,0,0,0,0,0
274,H00061,H,298.4,309.8,1168,34.7,24,0,0,0,0,0,0
275,M00082,M,299.1,308.8,1461,39.9,75,0,0,0,0,0,0
276,M00083,M,302.2,311.9,1707,48.3,27,0,0,0,0,0,0
277,M00084,M,303.2,315.3,1595,38.0,104,0,0,0,0,0,0
278,M00085,M,303.1,313.6,1210,46.0,11,0,0,0,0,0,0
279,M00086,M,301.5,312.4,1550,42.3,120,0,0,0,0,0,0
280,M00087,M,299.5,310.8,1374,43.2,212,0,0,0,0,0,0
281,H00062,H,293.5,302.9,1356,46.6,203,0,0,0,0,0,0
282,L00133,L,300.6,311.8,1233,37.1,181,0,0,0,0,0,0
283,L00134,L,300.0,309.5,1661,30.6,185,0,0,0,0,0,0
284,L00135,L,300.3,309.7,1760,44.7,112,0,0,0,0,0,0
285,M00088,M,300.1,309.8,1962,38.7,143,0,0,0,0,0,0
286,L00136,L,297.3,306.7,1243,35.5,189,0,0,0,0,0,0
287,L00137,L,301.1,311.9,1691,45.3,73,0,0,0,0,0,0
288,M00089,M,301.3,311.5,1704,52.8,137,1,0,0,1,0,0
289,L00138,L,301.4,310.9,1421,38.5,193,0,0,0,0,0,0
290,M00090,M,301.9,312.6,1354,40.1,90,0,0,0,0,0,0
291,L00139,L,301.2,310.9,1320,28.2,51,0,0,0,0,0,0
292,L00140,L,299.2,308.9,1432,37.8,29,0,0,0,0,0,0
293,H00063,H,299.9,309.9,1578,42.2,96,0,0,0,0,0,0
294,L00141,L,300.2,310.6,1810,39.8,15,0,0,0,0,0,0
295,L00142,L,300.2,310.6,1759,36.4,137,0,0,0,0,0,0
296,M00091,M,302.0,311.6,1214,47.3,142,0,0,0,0,0,0
297,M00092,M,301.3,312.1,1380,40.6,25,0,0,0,0,0,0
298,L00143,L,304.2,313.9,1797,65.9,188,1,0,0,1,1,0
299,M00093,M,304.4,313.8,1391,42.1,14,0,0,0,0,0,0
300,L00144,L,300.2,308.7,1526,12.5,133,1,0,0,1,0,0
301,L00145,L,292.3,303.3,1196,28.9,208,0,0,0,0,0,0
302,M00094,M,302.5,312.5,1768,45.3,108,0,0,0,0,0,0
303,M00095,M,298.9,309.1,1168,33.6,128,0,0,0,0,0,0
304,M00096,M,298.4,309.4,1209,34.2,113,0,0,0,0,0,0
305,M00097,M,299.2,308.7,1748,27.6,86,0,0,0,0,0,0
306,H00064,H,299.1,307.7,1922,35.2,225,0,0,0,0,0,0
307,M00098,M,301.2,311.3,1479,41.9,162,0,0,0,0,0,0
308,L00146,L,296.9,307.2,1528,43.9,123,0,0,0,0,0,0
309,M00099,M,297.8,307.6,1719,29.8,106,0,0,0,0,0,0
310,L00147,L,300.7,312.2,1595,48.1,88,0,0,0,0,0,0
311,L00148,L,301.2,308.8,1463,28.1,128,0,0,0,0,0,0
312,L00149,L,301.3,312.4,1440,44.4,88,0,0,0,0,0,0
313,L00150,L,298.4,309.2,1224,43.4,37,0,0,0,0,0,0
314,H00065,H,298.0,308.5,1584,30.7,207,1,1,0,0,0,0
315,H00066,H,299.0,305.7,1519,29.5,238,0,0,0,0,0,0
316,M00100,M,300.5,311.8,1450,43.8,40,0,0,0,0,0,0
317,L00151,L,303.0,311.9,1337,34.4,139,0,0,0,0,0,0
318,L00152,L,295.9,305.4,1357,38.1,191,0,0,0,0,0,0
319,L00153,L,299.6,309.4,1661,46.9,137,0,0,0,0,0,0
320,L00154,L,297.3,307.7,1714,44.8,154,0,0,0,0,0,0
321,M00101,M,296.7,307.3,1472,30.8,166,0,0,0,0,0,0
322,M00102,M,301.9,312.8,1451,39.5,233,0,0,0,0,0,0
323,M00103,M,301.1,311.9,1367,30.7,198,0,0,0,0,0,0
324,L00155,L,300.9,311.2,1725,48.7,69,0,0,0,0,0,0
325,H00067,H,301.8,312.3,1544,55.4,44,0,0,0,0,0,0
326,M00104,M,299.0,307.9,1611,31.5,10,0,0,0,0,0,0
327,M00105,M,299.1,308.4,1609,39.7,23,0,0,0,0,0,0
328,M00106,M,304.4,315.3,1476,49.2,56,0,0,0,0,0,0
329,L00156,L,299.5,310.3,1304,40.2,39,0,0,0,0,0,0
330,L00157,L,301.5,312.2,1338,45.6,88,0,0,0,0,0,0
331,L00158,L,300.0,309.5,1763,40.5,36,0,0,0,0,0,0
332,M00107,M,296.3,307.2,1392,29.4,2,0,0,0,0,0,0
333,L00159,L,295.9,304.7,1455,41.2,195,0,0,0,0,0,0
334,L00160,L,298.8,309.9,1311,51.3,67,0,0,0,0,0,0
335,L00161,L,302.1,311.9,1294,43.1,120,0,0,0,0,0,0
336,L00162,L,301.6,313.3,1384,56.2,232,1,1,0,0,1,0
337,H00068,H,301.8,310.3,1875,22.3,128,0,0,0,0,0,0
338,M00108,M,298.0,309.8,1669,43.8,93,0,0,0,0,0,0
339,L00163,L,303.2,312.9,1432,33.5,206,0,0,0,0,0,0
340,L00164,L,298.1,307.7,1754,31.2,44,0,0,0,0,0,0
341,L00165,L,300.4,310.6,1507,53.3,30,0,0,0,0,0,0
342,L00166,L,300.0,309.3,1808,37.4,36,0,0,0,0,0,0
343,L00167,L,299.7,309.6,1980,36.5,113,0,0,0,0,0,0
344,L00168,L,302.7,311.9,1743,43.4,196,0,0,0,0,0,0
345,L00169,L,298.6,307.9,1556,18.5,42,1,0,0,1,0,0
346,M00109,M,297.3,307.8,1677,53.5,84,1,0,0,1,0,0
347,M00110,M,300.0,309.1,1541,59.0,98,1,0,0,1,0,0
348,L00170,L,299.2,308.4,1170,49.2,3,0,0,0,0,0,0
349,L00171,L,306.8,315.4,1407,44.1,198,0,0,0,0,0,0
350,M00111,M,301.4,310.8,1347,37.8,121,0,0,0,0,0,0
351,M00112,M,299.2,310.5,1402,29.2,28,0,0,0,0,0,0
352,H00069,H,297.9,307.0,1896,51.9,99,1,0,0,1,0,0
353,M00113,M,296.2,305.5,1762,49.2,98,1,0,0,1,0,0
354,L00172,L,297.9,308.1,1626,44.5,95,0,0,0,0,0,0
355,L00173,L,300.2,309.9,1700,43.3,105,0,0,0,0,0,0
356,M00114,M,302.9,315.1,1168,43.0,138,0,0,0,0,0,0
357,L00174,L,302.2,312.1,1683,34.7,32,0,0,0,0,0,0
358,M00115,M,300.5,310.8,1725,65.0,180,1,0,0,1,0,0
359,H00070,H,299.4,310.3,1168,37.1,232,1,1,0,0,0,0
360,M00116,M,300.5,311.5,1691,35.7,120,0,0,0,0,0,0
361,L00175,L,299.0,309.2,1253,51.2,16,0,0,0,0,0,0
362,M00117,M,303.4,313.3,1168,39.7,139,0,0,0,0,0,0
363,L00176,L,299.6,311.6,1803,39.8,0,0,0,0,0,0,0
364,M00118,M,299.8,309.7,1336,54.1,183,0,0,0,0,0,0
365,H00071,H,295.6,305.1,1394,46.8,22,0,0,0,0,0,0
366,L00177,L,299.6,309.0,1735,47.3,6,0,0,0,0,0,0
367,H00072,H,301.7,309.9,1476,25.8,77,0,0,0,0,0,0
368,H00073,H,297.9,308.7,1501,44.0,168,0,0,0,0,0,0
369,L00178,L,298.5,306.2,1497,29.9,235,0,0,0,0,0,0
370,L00179,L,301.6,311.6,1607,35.5,52,0,0,0,0,0,0
371,L00180,L,297.0,306.8,1492,41.8,231,1,1,0,0,0,0
372,L00181,L,302.1,314.4,1560,39.6,6,0,0,0,0,0,0
373,L00182,L,298.9,307.1,1437,46.5,205,0,0,0,0,0,0
374,M00119,M,299.2,308.3,1608,47.7,97,0,0,0,0,0,0
